,title,date,country,genre,rate
341,Love of my Life,10 November 2013 (USA),Australia,['Horror'],3.4
342,Ditch,2016 (USA),USA,['Horror'],3.4
343,Girl in Woods,3 June 2016 (USA),USA,"['Drama', 'Horror']",3.4
344,Copiii: The 1st Entry,18 June 2014 (Philippines),USA,"['Drama', 'Fantasy']",3.4
345,Dominion,14 September 2015 (UK),USA,"['Action', 'Sci-Fi']",3.4
346,Independence Daysaster,27 June 2013 (USA),Canada,"['Action', 'Adventure']",3.4
347,Following the Wicca Man,29 November 2013 (UK),UK,"['Horror', 'Mystery']",3.4
348,Death Factory,2014 (USA),USA,"['Fantasy', 'Horror']",3.4
349,Run Like Hell,9 September 2014 (USA),USA,"['Action', 'Horror']",3.4
350,"A.D.N., l'̢me de la terre",10 September 2014 (France),France,"['Drama', 'Fantasy']",3.4
351,Ingloda: The Possession Within,25 August 2013 (USA),USA,"['Drama', 'Horror']",3.4
352,The Bride,1 September 2013 (USA),USA,['Horror'],3.4
353,Adaline,1 December 2015 (USA),USA,[],3.4
354,Accident,1 December 2017 (South Africa),South Africa,['Action'],3.4
355,A Perfect Vacation,7 July 2015 (USA),USA,"['Action', 'Horror']",3.4
356,Prom Ride,24 April 2015 (USA),USA,['Horror'],3.4
357,Piranha Sharks,8 August 2018 (USA),USA,"['Action', 'Comedy']",3.4
358,The Demolisher,27 July 2015 (Canada),Canada,"['Action', 'Horror']",3.4
359,The Thin Man,5 June 2015 (Australia),Australia,"['Drama', 'Horror']",3.4
360,Flay,2017 (USA),USA,"['Drama', 'Fantasy']",3.4
