,title,date,country,genre,rate
334,Of Silence,14 January 2014 (USA),USA,"['Drama', 'Horror']",3.2
335,Hunting the Phantom,30 January 2014 (Kazakhstan),Kazakhstan,"['Action', 'Adventure']",3.2
336,Nomad the Beginning,3 July 2013 (Japan),USA,['Action'],3.2
337,Xibalba,2 May 2017 (Japan),Mexico,"['Action', 'Horror']",3.2
338,Extinction,12 November 2015 (Peru),UK,"['Action', 'Adventure']",3.2
339,Dekiru: The Three Stones,2017 (USA),USA,"['Action', 'Adventure']",3.2
340,The Device,27 September 2014 (USA),USA,"['Horror', 'Sci-Fi']",3.2
341,Creature,12 September 2014 (India),India,"['Action', 'Horror']",3.2
342,Project Eden: Vol. I,5 January 2018 (UK),USA,"['Mystery', 'Sci-Fi']",3.2
343,The Perfect Weapon,9 September 2016 (USA),USA,"['Action', 'Drama']",3.2
344,Atomic Shark,5 November 2016 (USA),USA,"['Action', 'Sci-Fi']",3.2
345,Ghost Shark 2: Urban Jaws,27 June 2015 (New Zealand),New Zealand,"['Drama', 'Fantasy']",3.3
346,Six Gun Savior,5 July 2016 (USA),USA,"['Action', 'Adventure']",3.3
347,The Starving Games,23 January 2014 (Hong Kong),USA,['Comedy'],3.3
348,Dignity,10 August 2013 (Switzerland),USA,"['Fantasy', 'Horror']",3.3
349,Project 12: The Bunker,8 January 2016 (Japan),Spain,"['Action', 'Adventure']",3.3
350,Altered Perception,4 May 2018 (USA),USA,"['Fantasy', 'Mystery']",3.3
351,Quadrant 9EV9,1 March 2016 (USA),USA,"['Action', 'Horror']",3.3
352,Revenge of the Lost,21 June 2017 (UK),USA,"['Drama', 'Horror']",3.3
353,Wonogawa,1 November 2014 (Japan),Japan,[],3.3
354,Tantsy nasmert,6 April 2017 (Russia),Russia,"['Action', 'Drama']",3.3
355,Zoombies,1 March 2016 (USA),USA,"['Action', 'Adventure']",3.3
356,Day of Reckoning,8 October 2016 (USA),USA,"['Action', 'Horror']",3.3
357,Revolt of the Empire of the Apes,19 July 2017 (USA),USA,"['Action', 'Adventure']",3.3
